Artist name,URL,Popularity,Followers,Monthly Listeners
Kid Yugi,https://open.spotify.com/artist/0EUR8jz8L936AEbV2Spkca?si=jYgDqK88RYauSTDVvgrppg,61,26985,515768
BLUEM,https://open.spotify.com/artist/1eFOTBAGM0w0SH7jnTYSd1?si=W7tbJF42STyqTuVZSirtQA,41,4579,109284
Whitemary,https://open.spotify.com/artist/5bfb49rPCcTFUqn6SVX8nt?si=Blzfi9NgRHWn1YDDYQ4hsw,28,6119,37465
Cucina Sonora,https://open.spotify.com/artist/0t4vNX1iyHzmASWTnsYzES?si=IK6xjjemRuq8McQgUSMlrw,8,1161,1291
Jack Out,https://open.spotify.com/artist/7KFzz2W8u1HdZhX2XcZCXI?si=UM7Jl-o0QQuBOYdsl3gCdw,34,8426,29480
xDiemondx,https://open.spotify.com/artist/2NAdP1sDABAGeAT7TGHenN?si=A5cb_JLAS8yLdHbU3Yemqw,31,6361,11311
Federico Baroni,https://open.spotify.com/artist/3RURcBFBQifZM2MyA4frZr?si=FZce38adSfSa6dPgktZbIw,29,8096,34701
Lil Kvneki,https://open.spotify.com/artist/5NT6SamVXGrIp1Z1lE2Eyn?si=w-D9cWPIST6rMfPGIVsAWw,48,16962,350329
IRBIS 37,https://open.spotify.com/artist/2u9Wpl7T6gCu1t3ymd6aXL?si=AB2z6oR4TcGpRHirrXfVWQ,35,18117,81004
Grill Boys,https://open.spotify.com/artist/7bhEp7R7GJ7fKHbocwhq9h?si=QJuw5kJ0Rm25d5kO_1j2CQ,15,1217,3280
Garage Gang,https://open.spotify.com/artist/0nVylSfYAbjeETmI5FbRyM?si=mxsQaacISRG7hOQk1NBxzw,23,8879,12860
Pseudospettri,https://open.spotify.com/artist/144fSE2ruLaRNyMQ2UiTsE?si=fZtJrUf-TMCccoddYw1qVQ,18,1531,4365
Kuzu,https://open.spotify.com/artist/5uhwzozeBApn2zTs4FzDJW?si=GU9y21M0TkGOKhSwr5-jHg,7,1469,1246
20025xs,https://open.spotify.com/artist/4ImHh6fCpoaFQ1sOINe1Wd?si=ztbm0LyRTje3ad-qeve5hg,7,1236,903
Hello Mimmi,https://open.spotify.com/artist/3IifAvWIrEkwQlXr5e97w7?si=X_hAjIqFQWKnJwurKPxKxQ,18,1980,3979
Piazza Bologna,https://open.spotify.com/artist/5Sae4YeLcFZ1P75vhzUDrp?si=XSYloozuRkuNDy7M5lCHdg,41,1584,215065
Ufo Blu,https://open.spotify.com/artist/2AKOwNAWTlPITItQWROSpp?si=PjbdxVegSWeN39fXVp6AAg,12,1033,2855
Lanyard,https://open.spotify.com/artist/6mWyG0mxArpvfGVLOx4qm1?si=n3FHzo8lSX2SQ-JoR7vmkQ,13,255,2497
FUCKYOURCLIQUE,https://open.spotify.com/artist/796NCMJ5AQMdnutcb8EVeJ?si=QxakzdMRS9G_Qegsw02Q4Q,40,15996,129910
AUGUSTKID,https://open.spotify.com/artist/33HmxGJWuhR3dZVkQnls3y?si=7hKuc1g_Say0mdBNydcOIQ,46,688,337316
ALANRED,https://open.spotify.com/artist/5rE6GuyQ0v2UgO77njY9ZB?si=o0tbh7mvS_edrNKUGqPLkg,0,12,8
Mattak,https://open.spotify.com/artist/3hCo0MeLrjAvQxAzPknjhK?si=PgFuq8sSReStQ6_u6HJYfQ,41,30392,111326
Karfi,https://open.spotify.com/artist/0f8a3ifFUu8Cd2NVs4KPVC?si=_3Eq_P1fSuqz41HuXQmP5w,35,6864,146377
Dadà,https://open.spotify.com/artist/2Ax9dIb8VekO3ObDrmz8ug?si=9hiEusW-RzmXjcvydwkvNw,27,5936,26958
Ganzo,https://open.spotify.com/artist/4N4LelQ5TM7dEhi5TASLLw?si=KV2NYhpUSDeQEUKFXTpjRA,26,875,31187
Ibisco,https://open.spotify.com/artist/048IEBDc0lctSV2QvGoH1G?si=L3dc-Z86TyOEJZfG-hheZA,16,1202,5962
Giuse The Lizia,https://open.spotify.com/artist/5RUZs42sw44u16SpQQvubK?si=K-1H96U8Tpm3KIm119J8Eg,44,10500,128257
acate,https://open.spotify.com/artist/1rmO4W0zEnyeQKgq5O2l4j?si=7okcgOo8SnCNA2BGmKPJCw,3,54,156
Assurditè,https://open.spotify.com/artist/2vDluwryVXelZfng6DxjnC?si=xonC2x76RCGOcrf2vCI2eA,37,1816,139812
Montag,https://open.spotify.com/artist/3tace7aJONiUqExBPqfYb0?si=6rRlo8TWRWi3rNy8u7LoUA,21,909,10952
Maria Antonietta,https://open.spotify.com/artist/6anaeWEVZRRTdhWVMp1wnb?si=LkcS11b7SMuw9DZ-NYV_4A,35,23109,55411
Delicatoni,https://open.spotify.com/artist/1OEKoqhN34tIGOjgCdp2gq?si=HWAUhFTOTkWzeQI_giZlvA,29,2685,32949
Giargo In Arte,https://open.spotify.com/artist/6znm1zcRojx5799Gf6Z0eI?si=jjjrVxfhToSFzF2qxcRU2w,6,417,256
Altea,https://open.spotify.com/artist/1yGCY2abK83JZlenHcgdws?si=YYSIoYVYTFmRDBWlCTqTEg,30,2636,34801
Kaze,https://open.spotify.com/artist/7whJIhjyiftRQjoAKJVNjU?si=uepzDEi_TKaTEYEOfmPQlQ,23,1064,17479
